name,position,pro_team,PTS,BLK,STL,AST,OREB,DREB,REB,PF,TO,FGM,FGA,FTM,FTA,3PTM,3PTA,FG%,FT%,3PT%,MPG,MIN,GP
Darius Garland,PG,CLE,12.338983050847459,0.06779661016949153,0.711864406779661,3.8813559322033897,0.4576271186440678,1.423728813559322,1.88135593220339,1.5593220338983051,2.559322033898305,4.745762711864407,11.847457627118644,1.0677966101694916,1.2203389830508475,1.7796610169491525,5.016949152542373,0.40057225,0.875,0.35472973,30.93220339,30.93220338983051,1.0
Wendell Carter Jr.,C,CHI,11.119047619047619,0.8571428571428571,0.7380952380952381,1.1904761904761905,3.2857142857142856,6.214285714285714,9.5,3.738095238095238,1.6666666666666667,4.190476190476191,7.9523809523809526,2.5952380952380953,3.5238095238095237,0.14285714285714285,0.6904761904761905,0.52694611,0.73648649,0.20689655,29.26190476,29.261904761904763,1.0
Daniel Theis,C,BOS,9.105263157894736,1.280701754385965,0.6140350877192983,1.6140350877192982,2.245614035087719,4.315789473684211,6.56140350877193,3.43859649122807,0.8421052631578947,3.6491228070175437,6.491228070175438,1.3859649122807018,1.8245614035087718,0.42105263157894735,1.3859649122807018,0.56216216,0.75961538,0.30379747,23.68421053,23.68421052631579,0.9824561403508771
Elfrid Payton,PG,NYK,10.116279069767442,0.37209302325581395,1.5116279069767442,7.1395348837209305,1.2093023255813953,3.558139534883721,4.767441860465116,1.9534883720930232,2.0930232558139537,4.372093023255814,9.906976744186046,1.0465116279069768,1.813953488372093,0.32558139534883723,1.6046511627906976,0.44131455,0.57692308,0.20289855,27.76744186,27.767441860465116,0.7906976744186046
Kevin Huerter,SG,ATL,12.333333333333334,0.48148148148148145,0.9259259259259259,3.7222222222222223,0.6481481481481481,3.4444444444444446,4.092592592592593,2.425925925925926,1.5925925925925926,4.518518518518518,10.907407407407407,0.9814814814814815,1.1851851851851851,2.314814814814815,5.981481481481482,0.41426146,0.828125,0.3869969,31.25925926,31.25925925925926,0.8518518518518519
Larry Nance Jr.,PF,CLE,9.963636363636363,0.38181818181818183,0.9818181818181818,2.1272727272727274,1.9090909090909092,5.454545454545454,7.363636363636363,1.6363636363636365,1.0727272727272728,4.054545454545455,7.7272727272727275,0.8727272727272727,1.2727272727272727,0.9818181818181818,2.8545454545454545,0.52470588,0.68571429,0.34394904,26.23636364,26.236363636363638,0.18181818181818182
Harrison Barnes,SF,SAC,14.703125,0.15625,0.59375,2.375,0.953125,3.828125,4.78125,1.28125,1.25,5.09375,11.109375,3.0625,3.8125,1.453125,3.796875,0.45850914,0.80327869,0.38271605,34.859375,34.859375,1.0
Jae Crowder,PF,PHO,10.421052631578947,0.3684210526315789,1.1403508771929824,2.56140350877193,0.8070175438596491,5.2105263157894735,6.017543859649122,2.1578947368421053,1.087719298245614,3.4035087719298245,8.859649122807017,1.6666666666666667,2.1228070175438596,1.9473684210526316,6.105263157894737,0.38415842,0.78512397,0.31896552,29.22807018,29.228070175438596,0.8070175438596491
Kyle Kuzma,PF,LAL,12.452830188679245,0.39622641509433965,0.37735849056603776,1.2830188679245282,0.9056603773584906,3.5660377358490565,4.471698113207547,1.9245283018867925,1.5471698113207548,4.679245283018868,10.924528301886792,1.7735849056603774,2.4150943396226414,1.320754716981132,4.415094339622642,0.4283247,0.734375,0.2991453,24.52830189,24.528301886792452,0.1320754716981132
OG Anunoby,SF,TOR,10.774193548387096,0.6612903225806451,1.403225806451613,1.5806451612903225,1.1612903225806452,4.258064516129032,5.419354838709677,2.467741935483871,1.1935483870967742,4.258064516129032,8.403225806451612,0.9516129032258065,1.3870967741935485,1.3064516129032258,3.4193548387096775,0.50671785,0.68604651,0.38207547,30.12903226,30.129032258064516,0.9838709677419355
